Molecule ChEMBL ID,Smiles,Actual pChEMBL,Predicted pChEMBL,Residuals,Leverage,Ipc,BCUT2D_CHGLO,SMR_VSA9,BCUT2D_LOGPHI,VSA_EState4,AvgIpc,PEOE_VSA3,VSA_EState8,MaxPartialCharge
CHEMBL4581849,CS(=O)(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,7.4,7.45509440108285,-0.05509440108285002,0.0018298489811539938,270516518.3253018,-2.310720186773672,11.387855989696924,2.3612039929323605,2.879971857072101,3.505493820772335,23.10784889067544,5.514801380925708,0.20845018353527814
CHEMBL1760153,Cc1nc(N)nc(-n2c(Nc3cccc(C(N)=O)c3)nc3ccccc32)n1,7.4,6.966665345345371,0.4333346546546295,0.0029446289236019934,1819425.974021988,-2.103851197521059,5.948339280986494,2.2559640144177706,13.7610859757126,2.9849311428543106,9.551078168738563,1.7401721489789672,0.24827302579302302
CHEMBL4632789,CNC(=O)c1ccc2c(c1)N(c1cnc(OC)c(S(=O)(=O)NC)c1)CCO2,7.4,6.983363048941822,0.41663695105817844,0.003538145757160196,1201223.5781760884,-2.313116412869108,11.629500169719275,2.3822193120466397,1.6681896284748472,2.7132315511467273,18.123870369728234,0.8786791383219952,0.2506023091390345
CHEMBL1213119,CC(C)n1nc(C#Cc2cccnc2)c2c(N)ncnc21,7.4,6.994366666666692,0.4056333333333084,0.00248614972286448,93070.50395248507,-2.0456972413285848,11.840868637711289,2.225597731664247,8.06027725287646,2.8658241148073986,14.6497599770396,4.061633597883598,0.1643994274350813
CHEMBL2165191,Cc1cc([C@@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1,7.4,6.642232281748148,0.7577677182518521,0.002594659867774721,6712628.0128408745,-2.2788590609359125,0.0,2.260035088086027,2.8605063512625764,2.741437083060743,9.77851570501903,6.425414836468296,0.33729734455127175
CHEMBL4463324,C[C@H](NC(=O)C1CCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)CC1)C(N)=O,7.4,7.333331927510632,0.06666807248936824,0.0012644294444518736,486059910.77204645,-2.3267869078911785,5.948339280986494,2.2896529863195076,6.13259403618123,3.333368199807243,13.764808616296847,4.559577466667182,0.2955669436002258
CHEMBL4556864,CC(=O)N(C)C1CCCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1,7.4,7.469558476884688,-0.06955847688468797,0.001570662607456044,334636755.32904655,-2.366529450784976,11.387855989696924,2.3622113415003496,2.942836725429238,3.5448185479900096,9.967957041894417,7.507272776494898,0.21897889506533563
CHEMBL2322349,Cc1nn2c(C(=O)O)cc(N3CCOCC3)nc2c1Cc1cccc(C(F)(F)F)c1C,7.4,7.371767534849909,0.028232465150090924,0.0031991063547302137,8989220.926964423,-2.2763343127779883,0.0,2.338781402952712,1.3290899575445945,3.0323995365540126,14.293913598634653,5.281723720044653,0.4161739814431394
CHEMBL3936781,C[C@H](Nc1ncnc(N)c1-c1ccc(N)nc1)c1nn2cccc2c(=O)n1-c1ccccc1,7.4,7.590786694422759,-0.19078669442275853,0.0024849416481841037,52037571.17569247,-2.2077192553189326,16.814289258077554,2.3199821356279835,14.244029661502017,3.297497534726251,19.467333456457247,1.9026361069119004,0.28202758516783766
CHEMBL2089105,Cc1c(Cl)cccc1Cn1cnc(=O)c2sc(N3CCOCC3)nc21,7.4,7.290912446726563,0.10908755327343744,0.0016542592838646258,892583.5076537622,-2.253925900193494,0.0,2.2747051791837625,2.552558611594657,3.0841274986999925,4.9839785209472085,5.497423673491945,0.29190964083801363
